Sentence_ID,Sentence,Word,Label
1,us ne apni phone achi tarah prepare ki,us,URD
1,us ne apni phone achi tarah prepare ki,ne,URD
1,us ne apni phone achi tarah prepare ki,apni,URD
1,us ne apni phone achi tarah prepare ki,phone,MIX
1,us ne apni phone achi tarah prepare ki,achi,URD
1,us ne apni phone achi tarah prepare ki,tarah,URD
1,us ne apni phone achi tarah prepare ki,prepare,ENG
1,us ne apni phone achi tarah prepare ki,ki,URD
2,hamare professor ne result explain kiya,hamare,URD
2,hamare professor ne result explain kiya,professor,ENG
2,hamare professor ne result explain kiya,ne,URD
2,hamare professor ne result explain kiya,result,ENG
2,hamare professor ne result explain kiya,explain,ENG
2,hamare professor ne result explain kiya,kiya,URD
3,kal hamari share ki class hai,kal,URD
3,kal hamari share ki class hai,hamari,URD
3,kal hamari share ki class hai,share,MIX
3,kal hamari share ki class hai,ki,URD
3,kal hamari share ki class hai,class,MIX
3,kal hamari share ki class hai,hai,URD
4,hum daily life mein bohat skill use karte hain,hum,URD
4,hum daily life mein bohat skill use karte hain,daily,ENG
4,hum daily life mein bohat skill use karte hain,life,ENG
4,hum daily life mein bohat skill use karte hain,mein,URD
4,hum daily life mein bohat skill use karte hain,bohat,URD
4,hum daily life mein bohat skill use karte hain,skill,ENG
4,hum daily life mein bohat skill use karte hain,use,ENG
4,hum daily life mein bohat skill use karte hain,karte,URD
4,hum daily life mein bohat skill use karte hain,hain,URD
5,hum daily life mein bohat surprise use karte hain,hum,URD
5,hum daily life mein bohat surprise use karte hain,daily,ENG
5,hum daily life mein bohat surprise use karte hain,life,ENG
5,hum daily life mein bohat surprise use karte hain,mein,URD
5,hum daily life mein bohat surprise use karte hain,bohat,URD
5,hum daily life mein bohat surprise use karte hain,surprise,MIX
5,hum daily life mein bohat surprise use karte hain,use,ENG
5,hum daily life mein bohat surprise use karte hain,karte,URD
5,hum daily life mein bohat surprise use karte hain,hain,URD
6,yeh coding bohat accha hai,yeh,URD
6,yeh coding bohat accha hai,coding,ENG
6,yeh coding bohat accha hai,bohat,URD
6,yeh coding bohat accha hai,accha,URD
6,yeh coding bohat accha hai,hai,URD
7,hum daily life mein bohat interview use karte hain,hum,URD
7,hum daily life mein bohat interview use karte hain,daily,ENG
7,hum daily life mein bohat interview use karte hain,life,ENG
7,hum daily life mein bohat interview use karte hain,mein,URD
7,hum daily life mein bohat interview use karte hain,bohat,URD
7,hum daily life mein bohat interview use karte hain,interview,ENG
7,hum daily life mein bohat interview use karte hain,use,ENG
7,hum daily life mein bohat interview use karte hain,karte,URD
7,hum daily life mein bohat interview use karte hain,hain,URD
8,yeh machine mujhe samajh nahi aa raha,yeh,URD
8,yeh machine mujhe samajh nahi aa raha,machine,ENG
8,yeh machine mujhe samajh nahi aa raha,mujhe,URD
8,yeh machine mujhe samajh nahi aa raha,samajh,URD
8,yeh machine mujhe samajh nahi aa raha,nahi,URD
8,yeh machine mujhe samajh nahi aa raha,aa,URD
8,yeh machine mujhe samajh nahi aa raha,raha,URD
9,kya aap mujhe application ke baare mein bata saktay hain,kya,URD
9,kya aap mujhe application ke baare mein bata saktay hain,aap,URD
9,kya aap mujhe application ke baare mein bata saktay hain,mujhe,URD
9,kya aap mujhe application ke baare mein bata saktay hain,application,ENG
9,kya aap mujhe application ke baare mein bata saktay hain,ke,URD
9,kya aap mujhe application ke baare mein bata saktay hain,baare,URD
9,kya aap mujhe application ke baare mein bata saktay hain,mein,URD
9,kya aap mujhe application ke baare mein bata saktay hain,bata,URD
9,kya aap mujhe application ke baare mein bata saktay hain,saktay,URD
9,kya aap mujhe application ke baare mein bata saktay hain,hain,URD
10,main roz scholarship check karta hoon,main,URD
10,main roz scholarship check karta hoon,roz,URD
10,main roz scholarship check karta hoon,scholarship,ENG
10,main roz scholarship check karta hoon,check,MIX
10,main roz scholarship check karta hoon,karta,URD
10,main roz scholarship check karta hoon,hoon,URD
11,kal hamari online ki class hai,kal,URD
11,kal hamari online ki class hai,hamari,URD
11,kal hamari online ki class hai,online,ENG
11,kal hamari online ki class hai,ki,URD
11,kal hamari online ki class hai,class,MIX
11,kal hamari online ki class hai,hai,URD
12,is bill ka price bohat zyada hai,is,URD
12,is bill ka price bohat zyada hai,bill,MIX
12,is bill ka price bohat zyada hai,ka,URD
12,is bill ka price bohat zyada hai,price,ENG
12,is bill ka price bohat zyada hai,bohat,URD
12,is bill ka price bohat zyada hai,zyada,URD
12,is bill ka price bohat zyada hai,hai,URD
13,aap ne yeh function kaise kiya,aap,URD
13,aap ne yeh function kaise kiya,ne,URD
13,aap ne yeh function kaise kiya,yeh,URD
13,aap ne yeh function kaise kiya,function,ENG
13,aap ne yeh function kaise kiya,kaise,URD
13,aap ne yeh function kaise kiya,kiya,URD
14,main internship mein developer sikh raha hoon,main,URD
14,main internship mein developer sikh raha hoon,internship,ENG
14,main internship mein developer sikh raha hoon,mein,URD
14,main internship mein developer sikh raha hoon,developer,ENG
14,main internship mein developer sikh raha hoon,sikh,URD
14,main internship mein developer sikh raha hoon,raha,URD
14,main internship mein developer sikh raha hoon,hoon,URD
15,hum daily life mein bohat product use karte hain,hum,URD
15,hum daily life mein bohat product use karte hain,daily,ENG
15,hum daily life mein bohat product use karte hain,life,ENG
15,hum daily life mein bohat product use karte hain,mein,URD
15,hum daily life mein bohat product use karte hain,bohat,URD
15,hum daily life mein bohat product use karte hain,product,ENG
15,hum daily life mein bohat product use karte hain,use,ENG
15,hum daily life mein bohat product use karte hain,karte,URD
15,hum daily life mein bohat product use karte hain,hain,URD
16,mujhe email pasand hai,mujhe,URD
16,mujhe email pasand hai,email,ENG
16,mujhe email pasand hai,pasand,URD
16,mujhe email pasand hai,hai,URD
17,mujhe is back ki zaroorat hai,mujhe,URD
17,mujhe is back ki zaroorat hai,is,URD
17,mujhe is back ki zaroorat hai,back,MIX
17,mujhe is back ki zaroorat hai,ki,URD
17,mujhe is back ki zaroorat hai,zaroorat,URD
17,mujhe is back ki zaroorat hai,hai,URD
18,mujhe shopping karte waqt achi point mili,mujhe,URD
18,mujhe shopping karte waqt achi point mili,shopping,ENG
18,mujhe shopping karte waqt achi point mili,karte,URD
18,mujhe shopping karte waqt achi point mili,waqt,URD
18,mujhe shopping karte waqt achi point mili,achi,URD
18,mujhe shopping karte waqt achi point mili,point,MIX
18,mujhe shopping karte waqt achi point mili,mili,URD
19,yeh computer bohat accha hai,yeh,URD
19,yeh computer bohat accha hai,computer,ENG
19,yeh computer bohat accha hai,bohat,URD
19,yeh computer bohat accha hai,accha,URD
19,yeh computer bohat accha hai,hai,URD
20,mujhe mobile pasand hai,mujhe,URD
20,mujhe mobile pasand hai,mobile,MIX
20,mujhe mobile pasand hai,pasand,URD
20,mujhe mobile pasand hai,hai,URD
21,us ne apni model achi tarah prepare ki,us,URD
21,us ne apni model achi tarah prepare ki,ne,URD
21,us ne apni model achi tarah prepare ki,apni,URD
21,us ne apni model achi tarah prepare ki,model,ENG
21,us ne apni model achi tarah prepare ki,achi,URD
21,us ne apni model achi tarah prepare ki,tarah,URD
21,us ne apni model achi tarah prepare ki,prepare,ENG
21,us ne apni model achi tarah prepare ki,ki,URD
22,hamari university mein naya degree shuru hua hai,hamari,URD
22,hamari university mein naya degree shuru hua hai,university,ENG
22,hamari university mein naya degree shuru hua hai,mein,URD
22,hamari university mein naya degree shuru hua hai,naya,URD
22,hamari university mein naya degree shuru hua hai,degree,ENG
22,hamari university mein naya degree shuru hua hai,shuru,URD
22,hamari university mein naya degree shuru hua hai,hua,URD
22,hamari university mein naya degree shuru hua hai,hai,URD
23,kal hamari laptop ki class hai,kal,URD
23,kal hamari laptop ki class hai,hamari,URD
23,kal hamari laptop ki class hai,laptop,ENG
23,kal hamari laptop ki class hai,ki,URD
